year,currentPop,popFromStart,numHouseholds,averageHouseholdSize,marriageTally,marriagePropNow,divorceTally,shareSingleParents,shareFemaleSingleParent,taxPayers,taxBurden,familyCareRatio,employmentRate,shareWorkingHours,publicSocialCare,costPublicSocialCare,sharePublicSocialCare,costTaxFreeSocialCare,publicChildCare,costPublicChildCare,sharePublicChildCare,costTaxFreeChildCare,totalTaxRevenue,totalPensionRevenue,pensionExpenditure,totalHospitalizationCost,classShare_1,classShare_2,classShare_3,classShare_4,classShare_5,totalInformalChildCare,formalChildCare,childcareIncomeShare,shareInformalChildCare,shareCareGivers,ratioFemaleMaleCarers,shareMaleCarers,shareFemaleCarers,ratioWage,ratioIncome,shareFamilyCarer,share_over20Hours_FamilyCarers,averageHoursOfCare,share_40to64_carers,share_over65_carers,share_10PlusHours_over70,totalSocialCareNeed,totalInformalSocialCare,totalFormalSocialCare,totalUnmetSocialCareNeed,totalSocialCare,share_InformalSocialCare,share_UnmetSocialCareNeed,totalOWSC,shareOWSC,totalCostOWSC,q1_socialCareNeed,q1_informalSocialCare,q1_formalSocialCare,q1_unmetSocialCareNeed,q1_outOfWorkSocialCare,q2_socialCareNeed,q2_informalSocialCare,q2_formalSocialCare,q2_unmetSocialCareNeed,q2_outOfWorkSocialCare,q3_socialCareNeed,q3_informalSocialCare,q3_formalSocialCare,q3_unmetSocialCareNeed,q3_outOfWorkSocialCare,q4_socialCareNeed,q4_informalSocialCare,q4_formalSocialCare,q4_unmetSocialCareNeed,q4_outOfWorkSocialCare,q5_socialCareNeed,q5_informalSocialCare,q5_formalSocialCare,q5_unmetSocialCareNeed,q5_outOfWorkSocialCare,grossDomesticProduct,publicCareToGDP
1860,676,676,317,2.132492113564669,4,0.9433333333333334,21,0.10738255033557048,0.875,600,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37596.58583436142,25761.37969065896,2455.798389279909,800.0,0.2466666666666667,0.3233333333333333,0.23666666666666664,0.15333333333333332,0.04,0.0,0.0,0.0,0.0,0.0033333333333333327,1.0,0.0,0.006666666666666667,0.7762073561293914,0.7774978520044677,1.0,0.0,8.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308937.80445301114,0.0
1861,740,742,328,2.2560975609756087,6,0.9060402684563761,17,0.0912863070539419,0.9090909090909092,598,27.922408026755853,0.7777777777777778,0.7842809364548495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34407.779546019934,23412.58069825996,2219.1691451026168,4234.96042078728,0.2466666666666667,0.3233333333333333,0.23666666666666664,0.15333333333333332,0.04,6080.0,0.0,0.0,1.0,0.011705685618729096,0.2857142857142857,0.016666666666666666,0.006711409395973154,0.7528996451739932,0.6010159505424392,1.0,0.0,8.0,0.0,0.0,0.0,72.0,56.0,0.0,16.0,56.0,1.0,0.2222222222222222,0.0,0.0,0.0,40.0,24.0,0.0,16.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279737.2747545418,0.0
1862,787,790,336,2.3422619047619047,11,0.8758389261744967,19,0.13013698630136986,0.8947368421052632,597,55.93835845896147,0.6923076923076923,0.8090452261306532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4156.840857476653,35341.63137364431,23901.553075807882,2272.999326039583,6498.4681929436365,0.24581939799331104,0.32441471571906355,0.2374581939799331,0.15217391304347827,0.04013377926421405,7264.0,1815.0748379545041,0.042397002151941365,0.7617449664429531,0.01507537688442211,0.5555555555555556,0.013377926421404682,0.016778523489932886,0.7862013232206827,0.6501894459689941,1.0,0.0,8.0,0.0,0.0,0.0,104.0,72.0,0.0,32.0,72.0,1.0,0.3076923076923077,0.0,0.0,0.0,56.0,40.0,0.0,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,286543.1170534101,0.0
1863,824,831,333,2.4744744744744747,16,0.8817567567567568,13,0.11692307692307692,0.8421052631578947,594,42.16565656565657,0.7692307692307693,0.8417508417508418,0.9892,0.0,0.0,0.0,0.0,120.0,720.0,0.015090543259557387,6725.0181706091025,36659.609919946815,24456.34742928236,2338.075420064265,6300.569596624873,0.2462311557788945,0.3232830820770519,0.23785594639866,0.152428810720268,0.04020100502512563,7973.0,2818.554152415885,0.06366903496720228,0.6878019323671497,0.016835016835016838,0.6,0.013422818791946308,0.020270270270270268,0.8027908499620223,0.7065865311453409,1.0,0.0,8.0,0.1,0.0,0.0,104.0,80.0,0.0,24.0,80.0,1.0,0.2307692307692308,0.0,0.0,0.0,64.0,48.0,0.0,16.0,0.0,32.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294923.4993556558,0.0
1864,870,878,337,2.5816023738872405,14,0.8677966101694915,18,0.13445378151260504,0.7916666666666666,593,42.23676222596965,0.8846153846153846,0.8431703204047217,0.9736,80.0,1360.0,0.3846153846153846,0.0,1628.0,9768.0,0.153817082388511,6956.303935544412,36657.01164174612,24188.028257007853,2316.8521242533952,11788.113102463112,0.2474747474747475,0.32154882154882153,0.23905723905723905,0.15151515151515152,0.04040404040404042,8559.0,2929.367729973087,0.06601658094134287,0.6994932984635501,0.020236087689713318,0.5833333333333334,0.016778523489932886,0.02372881355932204,0.7830812797294765,0.7026940935726166,1.0,0.0,8.666666666666666,0.16666666666666666,0.0,0.0,208.0,104.0,0.0,24.0,104.0,1.0,0.1153846153846154,0.0,0.0,0.0,144.0,48.0,0.0,24.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292427.59640396363,0.004650723860279167
1865,911,920,349,2.6103151862464182,7,0.823728813559322,19,0.18974358974358974,0.8378378378378378,592,49.35945945945946,0.8939393939393939,0.8293918918918919,0.9710794297352342,80.0,1360.0,0.303030303030303,0.0,2972.0,17832.0,0.2307453416149068,7963.4065884418505,36511.687924425554,23916.615317136733,2291.9137719520145,14101.827288626197,0.2478920741989882,0.32040472175379425,0.2394603709949409,0.15177065767284992,0.040472175379426635,9774.0,3144.987786274793,0.07101472050880712,0.7151009657594382,0.027027027027027032,0.625,0.020202020202020204,0.03389830508474576,0.805825872623491,0.6912210377913915,1.0,0.0,9.75,0.1875,0.0,0.0,264.0,156.0,0.0,28.0,156.0,1.0,0.10606060606060606,0.0,0.0,0.0,104.0,76.0,0.0,28.0,0.0,40.0,40.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289188.61028622533,0.0047028131524749035
1866,953,963,351,2.715099715099715,11,0.8163265306122449,13,0.21897810218978106,0.7777777777777778,591,70.63282571912012,0.8484848484848485,0.8443316412859561,0.9703406813627254,80.0,1360.0,0.303030303030303,0.0,4800.0,28800.0,0.3094378545642084,8245.200000000186,36486.25210510735,24237.636802916557,2318.968462475193,14182.351706912681,0.2483108108108108,0.31925675675675674,0.2398648648648649,0.15202702702702706,0.040540540540540536,9728.0,3313.473537386657,0.07288935171975157,0.6913018760659465,0.02538071065989848,0.6,0.020202020202020204,0.030612244897959183,0.8053033803151088,0.7224468026114279,1.0,0.0,9.6,0.2,0.0,0.0,264.0,144.0,0.0,40.0,144.0,1.0,0.15151515151515152,0.0,0.0,0.0,168.0,56.0,0.0,40.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292272.4602811272,0.004653192431103024
1867,993,1003,347,2.861671469740634,15,0.8299319727891157,11,0.18779342723004694,0.775,591,84.75939086294417,0.8285714285714286,0.8443316412859561,0.9627254509018036,80.0,1360.0,0.2857142857142857,0.0,6364.0,38184.0,0.35624720107478725,9116.427463369311,37439.24146831432,24141.817755214946,2323.816349175218,15412.585467108103,0.2487309644670051,0.31810490693739424,0.24027072758037224,0.15228426395939088,0.04060913705583756,10444.0,3498.8961372013296,0.07829158364944708,0.6990629183400268,0.02707275803722504,0.5625,0.02356902356902357,0.030612244897959183,0.8162801670960496,0.7318093884312964,1.0,0.0,9.5,0.375,0.0,0.0,280.0,152.0,0.0,48.0,152.0,1.0,0.17142857142857146,0.0,0.0,0.0,112.0,72.0,0.0,48.0,0.0,24.0,24.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293591.1156365476,0.004632292762167974
1868,1023,1034,347,2.9481268011527377,11,0.8293515358361775,11,0.2076749435665914,0.7391304347826086,590,198.10711864406773,0.6666666666666666,0.8525423728813559,0.9556660039761432,80.0,1360.0,0.2380952380952381,0.0,7856.0,47136.0,0.3875295974743489,8682.815446269524,36888.97633575962,24015.867920569064,2317.0428248209173,20013.63236652349,0.2487309644670051,0.31810490693739424,0.24027072758037224,0.15228426395939088,0.04060913705583756,11166.0,3433.465403766893,0.07342221679886403,0.7150358606557377,0.0288135593220339,0.5882352941176471,0.02356902356902357,0.034129692832764506,0.825065158619171,0.7556635076623425,1.0,0.0,8.470588235294116,0.4705882352941176,0.0,0.0,336.0,144.0,0.0,112.0,144.0,1.0,0.3333333333333333,0.0,0.0,0.0,184.0,30.0,0.0,82.0,0.0,72.0,58.0,0.0,14.0,0.0,16.0,16.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,292128.0854335285,0.0046554921207993824
1869,1046,1059,342,3.0584795321637426,17,0.8458904109589042,12,0.1986455981941309,0.7727272727272727,589,327.786078098472,0.5907079646017699,0.8573853989813243,0.9433663366336632,80.0,1360.0,0.17699115044247793,0.0,9296.0,55776.0,0.4132290184921764,8847.600000000155,36547.79643630262,23721.19358564556,2310.758316366489,29054.821088882905,0.2491525423728813,0.3169491525423729,0.2406779661016949,0.15254237288135594,0.04067796610169491,11341.0,3416.924017086142,0.0776986128584791,0.7269871794871795,0.035653650254668934,0.6190476190476191,0.02693602693602693,0.04452054794520549,0.8441342997290283,0.77590419468633,1.0,0.0,8.619047619047619,0.5714285714285714,0.0,0.0,452.0,181.0,5.231092026550588,185.0,186.23109202655056,0.9719107482556952,0.4092920353982301,0.0,0.0,0.0,284.0,64.0,0.0,132.0,0.0,104.0,48.0,3.0,53.0,0.0,24.0,24.0,0.0,0.0,0.0,48.0,45.0,2.231092026550588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290474.0281208629,0.004682002066753175
